transaction_id,user_id,product_id,purchase_date,quantity,amount,discount_amount,payment_method,order_status
T00001,U09442,P0013,2024-04-13 08:32:09,1,1760.0,440.0,NetBanking,Success
T00002,U04316,P0071,2024-06-01 15:25:36,1,800.0,0.0,Card,Success
T00003,U09292,P0069,2023-11-16 12:51:27,2,1620.0,180.0,Card,Success
T00004,U00666,P0072,2024-06-28 10:07:17,1,810.0,90.0,NetBanking,Success
T00005,U00932,P0127,2024-05-27 22:05:30,1,950.0,50.0,Wallet,Success
T00006,U03315,P0020,2024-04-02 10:44:36,1,3760.0,940.0,Card,Success
T00007,U08792,P0067,2024-03-04 23:22:10,1,270.0,30.0,Card,Success
T00008,U05841,P0188,2024-02-02 09:57:25,1,2945.0,155.0,Wallet,Success
T00009,U04151,P0095,2024-04-19 17:01:21,3,1890.0,210.0,UPI,Success
T00010,U05734,P0156,2024-08-18 21:22:23,1,3230.0,170.0,Wallet,Success
T00011,U01171,P0115,2024-10-30 08:32:27,1,800.0,0.0,UPI,Success
T00012,U05961,P0157,2024-01-14 08:28:07,1,1710.0,90.0,UPI,Success
T00013,U06018,P0173,2023-10-21 18:23:40,1,2890.0,510.0,NetBanking,Success
T00014,U02694,P0164,2024-01-24 07:37:32,2,1440.0,360.0,Card,Success
T00015,U00862,P0005,2024-02-06 09:48:14,1,1330.0,70.0,Card,Success
T00016,U08337,P0066,2024-07-12 12:17:53,1,270.0,30.0,Card,Failed
T00017,U07546,P0005,2024-11-16 08:49:53,1,980.0,420.0,Card,Success
T00018,U08985,P0093,2024-04-01 21:09:54,3,1425.0,75.0,Wallet,Success
T00019,U07468,P0116,2024-07-09 11:12:25,1,1600.0,0.0,UPI,Success
T00020,U01736,P0060,2024-02-03 07:11:52,1,425.0,75.0,UPI,Success
T00021,U09203,P0068,2024-06-24 07:12:32,1,765.0,135.0,Card,Success
T00022,U05428,P0079,2024-09-12 18:04:29,1,170.0,30.0,UPI,Success
T00023,U04736,P0155,2024-10-20 08:17:58,1,4200.0,0.0,Card,Success
T00024,U07763,P0144,2023-12-14 15:43:02,1,4230.0,470.0,Card,Success
T00025,U01412,P0129,2024-10-17 22:56:09,2,3240.0,360.0,Wallet,Success
T00026,U04973,P0091,2023-06-09 10:31:19,2,600.0,0.0,Card,Success
T00027,U06388,P0139,2024-06-07 10:41:59,1,1300.0,0.0,Card,Success
T00028,U04057,P0081,2024-10-21 11:10:00,3,2700.0,0.0,Card,Success
T00029,U04705,P0101,2024-07-10 12:50:06,1,1900.0,0.0,NetBanking,Success
T00030,U08083,P0186,2024-06-19 09:40:14,1,2635.0,465.0,NetBanking,Success
T00031,U02455,P0182,2024-08-23 11:36:42,1,1955.0,345.0,Wallet,Success
T00032,U06606,P0186,2024-09-04 12:37:49,1,2790.0,310.0,Card,Success
T00033,U00684,P0182,2024-12-06 07:22:14,1,1955.0,345.0,Card,Success
T00034,U07637,P0120,2024-03-14 19:34:22,2,1330.0,70.0,Card,Success
T00035,U00582,P0097,2024-12-28 11:07:56,1,340.0,60.0,Card,Success
T00036,U08791,P0155,2023-09-07 22:06:00,2,8400.0,0.0,Card,Success
T00037,U07374,P0090,2024-01-14 15:28:19,3,855.0,45.0,Card,Success
T00038,U00068,P0189,2024-10-23 07:02:51,2,7980.0,420.0,Card,Refunded
T00039,U01110,P0036,2024-03-13 09:36:25,1,7560.0,840.0,NetBanking,Success
T00040,U07281,P0117,2023-06-08 13:14:00,1,350.0,150.0,UPI,Success
T00041,U08605,P0008,2024-05-22 20:20:17,1,9900.0,0.0,Wallet,Success
T00042,U00217,P0116,2024-04-15 12:09:09,1,1520.0,80.0,Card,Success
T00043,U08307,P0182,2024-07-25 23:51:10,1,2185.0,115.0,Card,Success
T00044,U03338,P0138,2024-08-16 13:45:37,1,1280.0,320.0,UPI,Success
T00045,U03829,P0044,2024-12-10 16:01:53,1,2400.0,0.0,NetBanking,Success
T00046,U02976,P0155,2024-07-19 20:53:56,1,3990.0,210.0,UPI,Success
T00047,U04199,P0042,2023-11-22 18:34:43,1,5175.0,1725.0,Wallet,Success
T00048,U08408,P0172,2024-03-03 11:22:08,1,1200.0,0.0,NetBanking,Refunded
T00049,U01774,P0102,2024-05-24 09:05:51,2,2380.0,420.0,UPI,Success
T00050,U03822,P0072,2024-03-21 18:06:37,1,630.0,270.0,Wallet,Success
T00051,U05939,P0045,2024-10-19 08:01:22,2,7920.0,880.0,Card,Success
T00052,U01469,P0102,2023-12-22 18:29:21,1,1050.0,350.0,Card,Success
T00053,U05584,P0154,2023-03-11 10:11:00,1,2400.0,0.0,UPI,Success
T00054,U01029,P0078,2024-12-21 21:09:14,1,300.0,0.0,Wallet,Success
T00055,U02285,P0037,2024-03-14 21:54:10,1,6100.0,0.0,Card,Success
T00056,U08949,P0126,2023-11-01 18:47:45,2,2340.0,260.0,Wallet,Success
T00057,U02944,P0179,2024-08-06 22:38:50,1,1900.0,100.0,NetBanking,Success
T00058,U05661,P0085,2024-11-17 23:48:37,2,1800.0,0.0,Card,Success
T00059,U08941,P0102,2023-08-23 23:57:06,1,1260.0,140.0,UPI,Success
T00060,U01859,P0130,2024-03-06 10:38:40,1,1530.0,170.0,UPI,Success
T00061,U07458,P0130,2024-12-07 12:50:11,1,1275.0,425.0,UPI,Success
T00062,U01710,P0172,2024-05-20 13:37:39,1,1200.0,0.0,Card,Refunded
T00063,U08292,P0175,2024-11-03 22:04:37,1,2475.0,825.0,Card,Success
T00064,U01765,P0068,2024-10-08 11:34:20,1,900.0,0.0,Card,Success
T00065,U03526,P0143,2024-12-17 14:34:06,1,3900.0,0.0,UPI,Success
T00066,U00486,P0096,2024-08-10 17:15:39,1,700.0,0.0,NetBanking,Refunded
T00067,U05446,P0051,2023-08-12 10:12:45,1,700.0,0.0,Wallet,Success
T00068,U04178,P0179,2024-02-28 08:39:42,1,1900.0,100.0,Wallet,Success
T00069,U09923,P0096,2024-12-08 00:35:59,1,595.0,105.0,Card,Success
T00070,U00528,P0057,2024-05-08 16:41:00,1,360.0,40.0,UPI,Success
T00071,U08606,P0109,2024-04-28 19:41:28,1,1080.0,120.0,Wallet,Success
T00072,U04501,P0103,2023-09-18 20:16:43,2,2380.0,420.0,Wallet,Success
T00073,U00639,P0067,2024-09-27 14:22:16,1,285.0,15.0,Card,Success
T00074,U06611,P0128,2024-07-11 14:42:14,2,1020.0,180.0,Wallet,Success
T00075,U09649,P0194,2024-07-16 19:28:06,1,320.0,80.0,UPI,Success
T00076,U09446,P0138,2024-11-24 18:01:11,1,1440.0,160.0,UPI,Success
T00077,U09686,P0174,2024-08-09 06:40:54,1,3200.0,800.0,Card,Success
T00078,U01388,P0167,2023-12-28 15:40:57,1,2000.0,0.0,UPI,Success
T00079,U07540,P0067,2022-03-23 00:35:20,1,300.0,0.0,UPI,Success
T00080,U07769,P0078,2024-04-27 15:27:47,1,255.0,45.0,UPI,Success
T00081,U01826,P0049,2023-11-23 14:10:29,1,8100.0,900.0,NetBanking,Success
