user_id,signup_date,country,city,age_group,gender,device_type,acquisition_source
U00001,2024-03-22,UK,London,25-34,Male,Mobile,Referral
U00002,2022-11-17,India,Mumbai,45-60,Female,Mobile,Organic
U00003,2023-03-20,India,Hyderabad,25-34,Female,Desktop,Paid Ads
U00004,2024-08-20,Australia,Melbourne,35-44,Female,Mobile,Organic
U00005,2024-04-11,India,Mumbai,25-34,Male,Mobile,Paid Ads
U00006,2022-03-08,India,Bangalore,45-60,Male,Mobile,Paid Ads
U00007,2022-10-15,India,Hyderabad,45-60,Female,Desktop,Referral
U00008,2024-05-02,USA,Los Angeles,18-24,Other,Mobile,Paid Ads
U00009,2022-04-17,USA,Houston,35-44,Male,Desktop,Social
U00010,2023-09-23,India,Delhi,18-24,Male,Mobile,Referral
U00011,2024-08-06,UK,Leeds,18-24,Other,Desktop,Paid Ads
U00012,2024-11-21,India,Hyderabad,25-34,Other,Mobile,Paid Ads
U00013,2024-07-28,Canada,Calgary,25-34,Male,Mobile,Referral
U00014,2023-08-13,Canada,Edmonton,25-34,Male,Desktop,Social
U00015,2024-05-08,Germany,Hamburg,25-34,Female,Desktop,Referral
U00016,2023-04-11,Australia,Canberra,18-24,Female,Tablet,Paid Ads
U00017,2023-07-15,India,Chennai,18-24,Male,Mobile,Social
U00018,2024-01-13,India,Bangalore,25-34,Female,Desktop,Organic
U00019,2024-06-18,UK,Leeds,25-34,Male,Desktop,Social
U00020,2024-08-18,India,Delhi,35-44,Female,Mobile,Referral
U00021,2024-07-25,India,Bangalore,35-44,Female,Desktop,Organic
U00022,2024-02-17,India,Pune,45-60,Male,Mobile,Organic
U00023,2022-07-22,USA,New York,25-34,Male,Mobile,Organic
U00024,2023-06-13,USA,Phoenix,18-24,Male,Mobile,Paid Ads
U00025,2023-05-03,India,Mumbai,35-44,Female,Mobile,Organic
U00026,2023-04-21,India,Pune,35-44,Male,Mobile,Paid Ads
U00027,2024-01-24,UK,Leeds,25-34,Female,Mobile,Paid Ads
U00028,2023-02-07,India,Kolkata,35-44,Female,Mobile,Referral
U00029,2024-07-12,Germany,Cologne,25-34,Female,Mobile,Paid Ads
U00030,2024-10-04,India,Hyderabad,18-24,Female,Desktop,Paid Ads
U00031,2024-03-24,UK,London,35-44,Female,Mobile,Organic
U00032,2024-05-27,USA,Phoenix,25-34,Female,Mobile,Organic
U00033,2024-08-27,India,Hyderabad,25-34,Female,Mobile,Paid Ads
U00034,2024-08-26,USA,New York,25-34,Female,Mobile,Social
U00035,2023-06-11,USA,Philadelphia,25-34,Male,Mobile,Referral
U00036,2024-05-14,Canada,Quebec City,25-34,Female,Mobile,Organic
U00037,2023-02-18,UK,Birmingham,18-24,Male,Mobile,Social
U00038,2022-09-07,India,Delhi,45-60,Female,Desktop,Organic
U00039,2024-01-05,India,Mumbai,35-44,Female,Mobile,Social
U00040,2023-11-16,India,Chennai,25-34,Male,Mobile,Organic
U00041,2024-02-11,India,Kolkata,18-24,Male,Mobile,Organic
U00042,2024-01-22,USA,Philadelphia,18-24,Male,Mobile,Paid Ads
U00043,2024-12-03,Germany,Hamburg,35-44,Male,Mobile,Social
U00044,2023-04-16,USA,New York,25-34,Female,Mobile,Organic
U00045,2022-04-11,UK,Leeds,25-34,Female,Mobile,Organic
U00046,2024-05-10,UK,Sheffield,25-34,Male,Desktop,Social
U00047,2024-05-23,Canada,Montreal,25-34,Male,Desktop,Social
U00048,2024-08-23,India,Mumbai,35-44,Female,Mobile,Social
U00049,2024-11-02,UK,Bristol,35-44,Male,Mobile,Organic
U00050,2024-11-16,Australia,Perth,45-60,Other,Desktop,Social
U00051,2023-03-17,India,Ahmedabad,18-24,Male,Desktop,Paid Ads
U00052,2023-06-10,India,Delhi,35-44,Female,Desktop,Social
U00053,2024-12-18,Germany,Cologne,18-24,Male,Mobile,Organic
U00054,2023-12-12,Canada,Montreal,25-34,Male,Desktop,Social
U00055,2023-03-08,India,Ahmedabad,25-34,Male,Desktop,Social
U00056,2024-02-27,USA,Philadelphia,18-24,Female,Mobile,Paid Ads
U00057,2024-08-26,USA,Los Angeles,25-34,Male,Desktop,Organic
U00058,2024-01-03,USA,Houston,35-44,Female,Desktop,Social
U00059,2024-09-27,India,Bangalore,18-24,Male,Mobile,Paid Ads
U00060,2022-11-20,India,Pune,25-34,Male,Desktop,Social
U00061,2024-07-24,UK,Leeds,45-60,Male,Desktop,Social
U00062,2024-12-03,Canada,Quebec City,25-34,Male,Desktop,Paid Ads
U00063,2023-10-06,Australia,Adelaide,35-44,Male,Desktop,Organic
U00064,2024-12-02,India,Ahmedabad,35-44,Male,Mobile,Referral
U00065,2024-11-03,Canada,Calgary,18-24,Female,Mobile,Referral
U00066,2024-04-17,India,Kolkata,18-24,Other,Mobile,Organic
U00067,2024-03-09,USA,San Antonio,35-44,Female,Tablet,Paid Ads
U00068,2024-06-04,Australia,Gold Coast,35-44,Male,Mobile,Organic
U00069,2023-09-22,USA,Phoenix,18-24,Male,Mobile,Social
U00070,2023-09-23,India,Pune,25-34,Male,Mobile,Organic
U00071,2024-04-02,India,Chennai,25-34,Male,Mobile,Referral
U00072,2024-10-24,USA,San Antonio,35-44,Male,Mobile,Paid Ads
U00073,2024-05-28,UK,Manchester,25-34,Male,Desktop,Organic
U00074,2024-11-09,Germany,Dusseldorf,45-60,Male,Mobile,Social
U00075,2024-09-14,Canada,Toronto,45-60,Male,Desktop,Social
U00076,2024-02-26,Australia,Brisbane,35-44,Male,Desktop,Social
U00077,2024-02-11,UK,Liverpool,35-44,Male,Mobile,Organic
U00078,2024-05-02,Australia,Melbourne,25-34,Male,Mobile,Organic
U00079,2024-01-21,India,Ahmedabad,18-24,Female,Desktop,Referral
U00080,2024-08-02,Australia,Adelaide,25-34,Male,Mobile,Paid Ads
U00081,2024-05-27,India,Kolkata,25-34,Male,Mobile,Organic
U00082,2023-12-05,Australia,Brisbane,25-34,Male,Mobile,Organic
U00083,2023-10-07,India,Mumbai,35-44,Male,Desktop,Paid Ads
U00084,2022-02-22,UK,Liverpool,25-34,Female,Mobile,Organic
U00085,2024-12-04,UK,Bristol,35-44,Male,Desktop,Organic
U00086,2022-09-14,Germany,Hamburg,25-34,Female,Mobile,Organic
U00087,2024-02-02,UK,Manchester,18-24,Female,Mobile,Paid Ads
U00088,2024-07-23,India,Ahmedabad,25-34,Female,Mobile,Organic
U00089,2023-08-12,USA,Los Angeles,45-60,Female,Mobile,Paid Ads
U00090,2024-06-10,India,Chennai,35-44,Female,Mobile,Organic
U00091,2022-11-25,India,Pune,18-24,Male,Mobile,Social
U00092,2022-07-01,India,Chennai,25-34,Male,Mobile,Social
U00093,2024-11-19,India,Pune,45-60,Female,Desktop,Social
U00094,2023-01-23,USA,Phoenix,18-24,Female,Tablet,Social
U00095,2023-04-16,Australia,Gold Coast,25-34,Female,Mobile,Social
U00096,2024-07-15,Australia,Brisbane,25-34,Male,Mobile,Paid Ads
U00097,2024-01-14,India,Mumbai,25-34,Male,Mobile,Paid Ads
U00098,2023-01-09,India,Hyderabad,25-34,Female,Mobile,Organic
U00099,2024-11-21,India,Delhi,18-24,Male,Mobile,Organic
U00100,2022-06-23,India,Hyderabad,35-44,Female,Mobile,Organic
U00101,2022-04-15,India,Kolkata,18-24,Female,Mobile,Social
U00102,2024-03-26,India,Ahmedabad,35-44,Male,Mobile,Referral
U00103,2024-12-07,USA,Phoenix,25-34,Female,Mobile,Organic
U00104,2024-05-04,USA,San Antonio,25-34,Female,Desktop,Social
U00105,2024-09-21,USA,Los Angeles,18-24,Male,Tablet,Paid Ads
U00106,2024-10-18,India,Ahmedabad,35-44,Female,Desktop,Paid Ads
U00107,2024-10-08,UK,Sheffield,25-34,Female,Mobile,Organic
U00108,2023-12-12,Canada,Edmonton,25-34,Male,Desktop,Organic
U00109,2024-12-15,India,Ahmedabad,25-34,Male,Mobile,Organic
